Stkcd	Stknme_en	Listdt	Conme_en	OWNERSHIPTYPE_EN	OWNERSHIPTYPECODE	Ipoprc	Nshripo	Parval	Markettype
688302	HCYY	2022-04-12	Hinova Pharmaceuticals Inc.	Sino-foreign Equity Joint Venture	P0303	42.9200	24760	1.0000000000	32
688303	DQNY	2021-07-22	Xinjiang Daqo New Energy Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	21.4900	300000	1.0000000000	32
688305	KDSK	2021-07-09	KEDE Numerical Control Co., Ltd.	Private Enterprises	P0306	11.0300	22680	1.0000000000	32
688306	JPZN	2022-03-22	Ningbo PIA Intelligent Manufacturing Co., Ltd.	Private Enterprises	P0306	5.0800	307071	1.0000000000	32
688307	ZRGX	2023-02-16	Jiaxing ZMAX Optech Co., Ltd.	Private Enterprises	P0306	23.8800	22000	1.0000000000	32
688308	OKY	2020-12-10	OKE Precision Cutting Tools Co., Ltd.	Private Enterprises	P0306	23.9900	25000	1.0000000000	32
688309	HYHB	2020-07-14	Niutech Environment Technology Corporation	Private Enterprises	P0306	24.7900	20003	1.0000000000	32
688310	MDYL	2019-12-03	Maider Medical Industry Equipment Co., Ltd.	Private Enterprises	P0306	24.7900	20900	1.0000000000	32
688311	MSDZ	2020-07-31	Chengdu M&S Electronics Technology Co., Ltd.	Private Enterprises	P0306	41.5800	28670	1.0000000000	32
688312	YMKJ	2020-06-08	Shenzhen Yanmade Technology Inc.	Private Enterprises	P0306	19.6800	35870	1.0000000000	32
688313	SJGZ	2020-08-12	Henan Shijia Photons Technology Co., Ltd.	Private Enterprises	P0306	10.8200	46000	1.0000000000	32
688314	KTYL	2021-05-18	Kontour (Xi'an) Medical Technology Co., Ltd.	Private Enterprises	P0306	17.3400	14510	1.0000000000	32
688315	NHZY	2021-04-13	Novogene Co., Ltd.	Private Enterprises	P0306	12.7600	40200	1.0000000000	32
688316	QYKJ	2021-03-16	QingCloud Technologies Corp.	Private Enterprises	P0306	63.7000	12000	1.0000000000	32
688317	ZJSW	2021-01-18	Shanghai ZJ Bio-Tech Co., Ltd.	Private Enterprises	P0306	43.2200	48676	1.0000000000	32
