Stkcd,Stknme_en,Listdt,Conme_en,OWNERSHIPTYPE_EN,OWNERSHIPTYPECODE,Ipoprc,Nshripo,Parval,Markettype
2331,WTKJ,1/6/10,Anhui Wantong Technology Co. Ltd.,Private Enterprises,P0306,27,14000,1,4
2332,XJZY,1/12/10,Zhejiang Xianju Pharmaceutical Co. Ltd.,State-run or State-owned Holding,P0301,8.2,85400,1,4
2333,LPSJ,1/12/10,ZYF Lopsking Material Technology Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,22,39200,1,4
2334,YWT,1/13/10,Shenzhen INVT Electric Co. Ltd.,Private Enterprises,P0306,48,16000,1,4
2335,KHSJ,1/13/10,Kehua Data Co. Ltd.,Private Enterprises,P0306,27.35,19500,1,4
2336,RRL,1/13/10,Renrenle Commercial Group Co. Ltd.,Private Enterprises,P0306,26.98,100000,1,4
2337,SXKJ,1/15/10,Tianjin Saixiang Technology Co. Ltd.,Private Enterprises,P0306,31,30000,1,4
2338,APGD,1/15/10,Changchun Up Optotech Co. Ltd.,State-run or State-owned Holding,P0301,22,20000,1,4
2339,JCDZ,1/22/10,Integrated Electronic Systems Lab Co. Ltd.,Private Enterprises,P0306,25,22000,1,4
2340,GLM,1/22/10,GEM Co. Ltd.,Private Enterprises,P0306,32,23330,1,4
2341,XLXC,1/22/10,Xinlun New Materials Co. Ltd.,Private Enterprises,P0306,23,19000,1,4
2342,JLSJ,1/26/10,Juli Sling Co. Ltd.,Private Enterprises,P0306,24,50000,1,4
2343,CWCM,1/26/10,Ciwen Media Co. Ltd.,Private Enterprises,P0306,31,25000,1,4
2344,HNPC,1/26/10,Haining China Leather Market Co. Ltd.,State-run or State-owned Holding,P0301,20,70000,1,4
2345,CHJ,1/28/10,Guangdong CHJ Industry Co. Ltd.,Private Enterprises,P0306,33,30000,1,4
2346,ZZGF,1/28/10,Shanghai Zhezhong Group Co. Ltd.,Private Enterprises,P0306,19.9,35000,1,4
2347,TEGF,1/28/10,Taier Heavy Industry Co. Ltd.,Private Enterprises,P0306,22.5,26000,1,4
2348,GLGF,2/3/10,Goldlok Holdings (Guangdong) Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,21.98,38000,1,4
2349,JHZY,2/3/10,Jinghua Pharmaceutical Group Co. Ltd.,State-run or State-owned Holding,P0301,19.8,20000,1,4
2350,BJKR,2/3/10,Beijing Creative Distribution Automation Co. Ltd.,Private Enterprises,P0306,24,27000,1,4
2351,MBZ,2/5/10,Edifier Technology Co. Ltd.,Private Enterprises,P0306,33.5,37000,1,4
2352,SFKG,2/5/10,S.F. Holding Co. Ltd.,Private Enterprises,P0306,32,19500,1,4
2353,JRGF,2/5/10,Yantai Jereh Oilfield Services Group Co. Ltd.,Private Enterprises,P0306,59.5,29000,1,4
2354,TYSK,2/9/10,Tianyu Digital Technology (Dalian) Group Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,12.33,23500,1,4
2355,XMZT,2/9/10,Xingmin Intelligent Transportation Systems (Group) Co. Ltd.,Private Enterprises,P0306,14.5,52600,1,4
2356,HMJT,2/9/10,Shenzhen Hemei Group Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,36.5,20000,1,4
2357,FLYY,2/10/10,Sichuan Fulin Transportation Group Co. Ltd.,Private Enterprises,P0306,14.97,21000,1,4
2358,SYDQ,2/10/10,Henan Senyuan Electric Co. Ltd.,Private Enterprises,P0306,26,22000,1,4
2359,BXT,2/10/10,Northcom Group Co. Ltd.,Private Enterprises,P0306,16.98,27500,1,4
2360,TDHG,3/3/10,Shanxi Tond Chemical Co. Ltd.,Private Enterprises,P0306,23.98,15000,1,4
2361,SJGF,3/3/10,Anhui Shenjian New Materials Co. Ltd.,Private Enterprises,P0306,17,20000,1,4
2362,HWKJ,3/3/10,Hanwang Technology Co. Ltd.,Private Enterprises,P0306,41.9,27000,1,4
2363,LJJX,3/5/10,Shandong Longji Machinery Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,18,30000,1,4
2364,ZHDQ,3/5/10,Hangzhou Zhongheng Electric Co. Ltd.,Private Enterprises,P0306,22.35,16800,1,4
2365,YAYY,3/5/10,Qianjiang Yongan Pharmaceutical Co. Ltd.,Private Enterprises,P0306,31,23500,1,4
2366,RFHD,3/12/10,RongFa Nuclear Equipment Co. Ltd.,Private Enterprises,P0306,15,33500,1,4
2367,KLDT,3/12/10,Canny Elevator Co. Ltd.,Private Enterprises,P0306,27.1,33500,1,4
2368,TJGF,3/12/10,Taiji Computer Corporation Limited,State-run or State-owned Holding,P0301,29,25000,1,4
2369,ZYKJ,3/16/10,Shenzhen Zowee Technology Co. Ltd.,Private Enterprises,P0306,22.58,25000,1,4
2370,YTYY,3/16/10,Zhejiang Yatai Pharmaceutical Co. Ltd.,Private Enterprises,P0306,16,30000,1,4
2371,BFHC,3/16/10,Naura Technology Group Co. Ltd.,State-run or State-owned Holding,P0301,33,16560,1,4
2372,WXXC,3/18/10,Zhejiang Weixing New Building Materials Co. Ltd.,Private Enterprises,P0306,17.97,63400,1,4
2373,QFKJ,3/18/10,China TransInfo Technology Co. Ltd.,Private Enterprises,P0306,28,17500,1,4
